epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
90,114.564,1.61749,0.95187,0.84666,0.54982,0.46709,0.43178,0.12872,2.35691,1.26237,1.07913,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,116.404,1.60194,0.92858,0.86937,0.54932,0.46617,0.43188,0.13147,2.35332,1.25237,1.07181,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,117.763,1.67519,1.03523,0.85075,0.57743,0.41176,0.42959,0.12019,2.34788,1.25143,1.06431,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,118.971,1.57652,0.90079,0.83483,0.57759,0.41176,0.42731,0.12147,2.29036,1.24347,1.06154,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,120.187,1.6042,0.96515,0.85005,0.57007,0.41176,0.42595,0.12136,2.29163,1.24817,1.0615,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,121.333,1.47442,0.9487,0.8115,0.56838,0.41176,0.4275,0.11708,2.35534,1.24973,1.06292,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,122.589,1.57422,0.91667,0.83471,0.57285,0.41176,0.42821,0.12572,2.41107,1.23583,1.06725,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,123.746,1.55522,0.89225,0.85308,0.60842,0.44118,0.45132,0.12033,2.43604,1.22053,1.06915,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,124.895,1.61733,0.93174,0.85982,0.60568,0.44118,0.43324,0.11414,2.46292,1.20742,1.06918,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,126.084,1.58868,0.91906,0.84435,0.60515,0.44118,0.44978,0.12056,2.47692,1.20127,1.07,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,127.335,1.6523,0.96066,0.84845,0.60977,0.44118,0.43306,0.11977,2.46694,1.20575,1.07046,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
